Rank,Song,Artist
1,Luther,Kendrick Lamar & SZA
2,Ordinary,Alex Warren
3,Die With A Smile,Lady Gaga & Bruno Mars
4,A Bar Song (Tipsy),Shaboozey
5,Nokia,Drake
6,Pink Pony Club,Chappell Roan
7,Lose Control,Teddy Swims
8,Beautiful Things,Benson Boone
9,Anxiety,Doechii
10,I'm The Problem,Morgan Wallen
11,Birds Of A Feather,Billie Eilish
12,All The Way,BigXthaPlug Featuring Bailey Zimmerman
13,Mutt,Leon Thomas
14,I Had Some Help,Post Malone Featuring Morgan Wallen
15,Blue Strips,Jessie Murph
16,Love Somebody,Morgan Wallen
17,Just In Case,Morgan Wallen
18,Messy,Lola Young
19,Espresso,Sabrina Carpenter
20,APT.,ROSE & Bruno Mars
21,That's So True,Gracie Abrams
22,Not Like Us,Kendrick Lamar
23,30 For 30,SZA With Kendrick Lamar
24,I Never Lie,Zach Top
25,Burning Blue,Mariah The Scientist
26,Stargazing,Myles Smith
27,TV Off,Kendrick Lamar Featuring Lefty Gunplay
28,No One Noticed,The Marias
29,I Ain't Coming Back,Morgan Wallen & Post Malone
30,Bad Dreams,Teddy Swims
31,Abracadabra,Lady Gaga
32,Sorry I'm Here For Someone Else,Benson Boone
33,Worst Way,Riley Green
34,Sports Car,Tate McRae
35,Squabble Up,Kendrick Lamar
36,Backup Plan,Bailey Zimmerman & Luke Combs
37,Timeless,The Weeknd & Playboi Carti
38,Taste,Sabrina Carpenter
39,Good News,Shaboozey
40,Weren't For The Wind,Ella Langley
41,Love Me Not,Ravyn Lenae
42,Wildflower,Billie Eilish
43,Sailor Song,Gigi Perez
44,Undressed,sombr
45,Mystical Magical,Benson Boone
46,Cry For Me,The Weeknd
47,Back To Friends,sombr
48,Dark Thoughts,Lil Tecca
49,Azizam,Ed Sheeran
50,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
51,Indigo,Sam Barber Featuring Avery Anna
52,Residuals,Chris Brown
53,Am I Okay?,Megan Moroney
54,DTMF,Bad Bunny
55,Party 4 U,Charli xcx
56,I'm A Little Crazy,Morgan Wallen
57,Somebody Loves Me,PARTYNEXTDOOR & Drake
58,Happen To Me,Russell Dickerson
59,Me Jalo,Fuerza Regida & Grupo Frontera
60,What Was That,Lorde
61,Your Way's Better,Forrest Frank
62,After All The Bars Are Closed,Thomas Rhett
63,Peekaboo,Kendrick Lamar Featuring AzChike
64,Por Esos Ojos,Fuerza Regida
65,Revolving Door,Tate McRae
66,Baile Inolvidable,Bad Bunny
